"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 11:57:36 UTC 2025","Fri Jun 27 11:57:38 UTC 2025","1635","","Dashboard Functional Tests","","com.demo.tests.DashboardTests","testUserMenuAndLogout","User menu should show dropdown and support logout","Validates the user dropdown visibility and proper logout redirect behavior."
"passed","Fri Jun 27 11:58:03 UTC 2025","Fri Jun 27 11:58:03 UTC 2025","224","","Product Page UI and Functional Tests","","com.demo.tests.ProductPageTests","testAllProductManualLinksAreDownloadable","All product manual links should be downloadable",""
"passed","Fri Jun 27 11:57:45 UTC 2025","Fri Jun 27 11:57:45 UTC 2025","311","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testMissingGender","User must select gender before submission",""
"passed","Fri Jun 27 11:56:59 UTC 2025","Fri Jun 27 11:57:03 UTC 2025","3827","","Checkout Flow Tests","","com.demo.tests.CheckoutTests","testConfirmationDisplaysOrder","Display submitted order on confirmation page","Verifies that the confirmation page displays correct order data from localStorage."
"passed","Fri Jun 27 11:57:05 UTC 2025","Fri Jun 27 11:57:07 UTC 2025","2686","","Cart Tests","","com.demo.tests.CartTests","testCartEmptyState","Cart shows empty state when there are no items",""
"passed","Fri Jun 27 11:57:47 UTC 2025","Fri Jun 27 11:57:47 UTC 2025","315","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testUncheckedAgreement","User must agree to terms before submitting",""
"passed","Fri Jun 27 11:58:07 UTC 2025","Fri Jun 27 11:58:08 UTC 2025","725","","Login Tests","","com.demo.tests.LoginTests","testSuccessfulLogin","Successful login with valid credentials","Checks that a valid user can log in and receive an auth_token cookie."
"passed","Fri Jun 27 11:56:48 UTC 2025","Fri Jun 27 11:56:53 UTC 2025","4826","","Checkout Flow Tests","","com.demo.tests.CheckoutTests","testConfirmationShowsNoOrderIfEmpty","Show empty message if no order exists","Confirmation page should indicate when there’s no order stored."
"passed","Fri Jun 27 11:57:39 UTC 2025","Fri Jun 27 11:57:39 UTC 2025","826","","Dashboard Functional Tests","","com.demo.tests.DashboardTests","testDashboardRedirectsToLoginIfNotLoggedIn","Redirect to login if accessing dashboard unauthenticated","Checks that accessing the dashboard without being logged in redirects to the login page."
"passed","Fri Jun 27 11:57:39 UTC 2025","Fri Jun 27 11:57:40 UTC 2025","929","","Dashboard Functional Tests","","com.demo.tests.DashboardTests","testCardExpandCollapse","Expand and collapse a card section on dashboard","Ensures the UI card toggle behavior expands and collapses content as expected."
"passed","Fri Jun 27 11:57:07 UTC 2025","Fri Jun 27 11:57:15 UTC 2025","7153","","Cart Tests","","com.demo.tests.CartTests","testContinueShoppingLink","Continue shopping link should go to product page",""
"passed","Fri Jun 27 11:57:50 UTC 2025","Fri Jun 27 11:57:53 UTC 2025","2965","","Checkout Responsive Tests","","com.demo.tests.CheckoutResponsiveTests","testCheckoutResponsiveLayout","Ensure checkout layout renders correctly on responsive devices","Verifies that the product page layout renders properly in responsive or mobile-simulated browsers."
"passed","Fri Jun 27 11:57:47 UTC 2025","Fri Jun 27 11:57:48 UTC 2025","311","","Form Input Validation Tests","","com.demo.tests.FormValidationTests","testMissingCountry","Form should reject missing country selection",""
"passed","Fri Jun 27 11:57:38 UTC 2025","Fri Jun 27 11:57:39 UTC 2025","956","","Dashboard Functional Tests","","com.demo.tests.DashboardTests","testSettingsButtonAlert","Settings button should trigger alert in expanded card","Expands the card containing settings button and verifies alert behavior."
"passed","Fri Jun 27 11:56:38 UTC 2025","Fri Jun 27 11:56:44 UTC 2025","5588","","Checkout Flow Tests","","com.demo.tests.CheckoutTests","testProceedToCheckout","Complete checkout with valid data","Logs in the user, adds a product to cart, completes checkout, and verifies confirmation."
"passed","Fri Jun 27 11:57:23 UTC 2025","Fri Jun 27 11:57:27 UTC 2025","3613","","Cart Tests","","com.demo.tests.CartTests","testQuantityDropdownPersistenceAfterReload","Quantity dropdown should persist after reload",""
